model,threshold,accuracy,precision,recall,f1,roc_auc,average_precision
gradient_boosting,0.5,0.8048261178140526,0.6689419795221843,0.5240641711229946,0.5877061469265368,0.8442171071327083,0.6631109113099249
random_forest,0.5,0.7615330021291696,0.5354477611940298,0.767379679144385,0.6307692307692307,0.8433348833604588,0.6506985674190355
logistic_regression,0.5,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8416388953473353,0.6326914342266071
decision_tree,0.5,0.7452093683463449,0.5130890052356021,0.786096256684492,0.6209081309398099,0.8332041644062105,0.6229582245549387
baseline_most_frequent,0.5,0.7345635202271115,0.0,0.0,0.0,0.5,0.2654364797728886
