model,threshold_name,threshold,accuracy,precision,recall,f1,roc_auc,average_precision,true_negatives,false_positives,false_negatives,true_positives,customers_flagged,churners_captured,churners_missed
gradient_boosting,default_0_50,0.5,0.8048261178140526,0.6689419795221843,0.5240641711229946,0.5877061469265368,0.8442171071327083,0.6631109113099249,938,97,178,196,293,196,178
gradient_boosting,balanced_f1,0.2399999999999999,0.7466288147622427,0.5142857142857142,0.8181818181818182,0.631578947368421,0.8442171071327083,0.6631109113099249,746,289,68,306,595,306,68
